City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
513,temirgoyevskaya,45.1141,40.2803,0.3,72,1,3.63,RU,1673710650
514,siedlce,52.1677,22.2901,5.57,78,52,4.21,PL,1673710651
515,kuznetsk,53.1167,46.6004,-11.32,77,88,4.49,RU,1673710651
516,nelson bay,-32.7167,152.15,21.67,83,23,4.02,AU,1673710652
517,mareeba,-17.0,145.4333,22.47,97,99,0.5,AU,1673710551
518,umaria,23.5333,80.8333,14.47,52,0,1.72,IN,1673710652
519,te anau,-45.4167,167.7167,10.67,92,6,0.52,NZ,1673710652
520,srivardhan,18.0333,73.0167,19.5,66,2,3.77,IN,1673710653
521,sompeta,18.9333,84.6,21.87,85,0,2.78,IN,1673710653
522,linguere,15.3953,-15.1193,34.82,7,6,5.49,SN,1673710654
523,mehamn,71.0357,27.8492,-3.05,79,88,4.63,NO,1673710654
524,navahrudak,53.6,25.8333,2.47,89,100,3.54,BY,1673710654
525,erechim,-27.6342,-52.2739,23.2,77,99,3.44,BR,1673710655
526,keningau,5.3378,116.1602,21.11,97,100,0.88,MY,1673710655
527,tucumcari,35.1717,-103.725,6.08,38,0,5.14,US,1673710656
528,nigel,-26.4314,28.4771,29.0,32,0,3.02,ZA,1673710656
529,bilma,18.6853,12.9164,22.67,18,76,3.32,NE,1673710656
530,george town,5.4112,100.3354,27.96,92,20,1.54,MY,1673710412
531,latung,5.5,120.8833,27.49,80,100,8.12,PH,1673710657
532,minsk,53.9,27.5667,-0.14,98,100,3.89,BY,1673710657
533,jimo,36.3897,120.4622,-5.12,68,75,6.0,CN,1673710658
534,samarai,-10.6167,150.6667,26.64,82,100,5.35,PG,1673710658
535,fukuma,33.7667,130.4667,14.05,82,96,3.73,JP,1673710658
536,arlit,18.7369,7.3853,26.29,11,67,1.93,NE,1673710659
537,haverfordwest,51.8017,-4.9691,10.31,75,100,3.58,GB,1673710659
538,todos santos,23.45,-110.2167,23.84,36,0,1.43,MX,1673710659
539,bay roberts,47.5999,-53.2648,12.86,89,99,5.36,CA,1673710660
540,esperance,-33.8667,121.9,14.15,70,2,4.87,AU,1673710660
541,maragogi,-9.0122,-35.2225,28.28,68,30,5.51,BR,1673710661
542,sikonge,-5.6333,32.7667,20.12,85,98,0.81,TZ,1673710661
543,brownsville,25.9018,-97.4975,14.39,74,0,2.06,US,1673710562
